u,v,key,osmid,highway,oneway,service,reversed,length,grade,grade_abs,slope_pct,walk_speed_kmh,walk_time_s,walk_time_min,elev_u,elev_v,elev_gain_m,elev_loss_m,lanes,maxspeed,name,ref,access,bridge,width,junction,tunnel
928552594,157369995,0,"[419226777, 419226778]","['secondary', 'unclassified']",False,,False,90.85168392005082,0.04755010735981891,0.04755010735981891,4.755010735981891,4.264539031832214,76.69435305218967,1.2782392175364945,303.70599365234375,308.0260009765625,4.32000732421875,0.0,"['1', '2']",50,Via Mesiano,SP204,yes,,,,
928552594,13563858478,0,1478525987,footway,False,,True,95.0517459149056,0.049551866825199735,0.049551866825199735,4.955186682519973,4.234765418140904,80.80407094754324,1.3467345157923873,303.70599365234375,308.4159851074219,4.709991455078125,0.0,,,,,,,,,
157370005,13563817811,0,25610142,residential,False,,True,3.9820473341655314,0.04520103873124071,0.04520103873124071,4.5201038731240715,4.299745494699577,3.3340044011134027,0.05556674001855671,334.9280090332031,335.1080017089844,0.17999267578125,0.0,,,Via Mesiano,,,,,,
157370005,4215472166,0,31343408,secondary,False,,False,56.796544475490805,0.08290969844181366,0.08290969844181366,8.290969844181365,3.7681174427320974,54.262523188108595,0.9043753864684766,334.9280090332031,339.6369934082031,4.708984375,0.0,2,,Via Mesiano,SP204,,,,,
157370005,279134219,0,31343408,secondary,False,,True,136.05783318489443,-0.10052344383978815,0.10052344383978815,-10.052344383978815,5.027522991434117,97.42535246485279,1.6237558744142133,334.9280090332031,321.2510070800781,0.0,13.677001953125,2,,Via Mesiano,SP204,,,,,
13563817811,157370005,0,25610142,residential,False,,False,3.9820473341655314,-0.04520103873124071,0.04520103873124071,-4.5201038731240715,5.900063448207927,2.4296976683106872,0.040494961138511455,335.1080017089844,334.9280090332031,0.0,0.17999267578125,,,Via Mesiano,,,,,,
13563817811,279136605,0,25610142,residential,False,,True,22.99646157690072,0.10958159824914677,0.10958159824914677,10.958159824914677,3.432276952056474,24.12021606451076,0.40200360107517935,335.1080017089844,337.62799072265625,2.519989013671875,0.0,,,Via Mesiano,,,,,,
13563817811,13563817817,0,1478523028,footway,False,,False,58.974596300931026,0.07374359972293432,0.07374359972293432,7.374359972293432,3.8909637212453068,54.564514576199166,0.9094085762699861,335.1080017089844,339.4570007324219,4.3489990234375,0.0,,,,,,,,,
13563817811,13563817803,0,1478523028,footway,False,,True,136.45669101947732,-0.10132882269317055,0.10132882269317055,-10.132882269317054,5.013371234017779,97.98677670961725,1.6331129451602875,335.1080017089844,321.281005859375,0.0,13.826995849609375,,,,,,,,,
4215472166,13563817817,0,421813744,service,False,driveway,False,4.907000251751353,-0.036680796117140806,0.036680796117140806,-3.6680796117140804,5.726716075128418,3.084699970202162,0.05141166617003603,339.6369934082031,339.4570007324219,0.0,0.17999267578125,,,,,,,,,
4215472166,157370005,0,31343408,secondary,False,,True,56.796544475490805,-0.08290969844181366,0.08290969844181366,-8.290969844181365,5.34721318226933,38.23815380874564,0.6373025634790941,339.6369934082031,334.9280090332031,0.0,4.708984375,2,,Via Mesiano,SP204,,,,,
4215472166,2799582556,0,421813732,secondary,False,,False,115.08206348048076,0.07116662834947662,0.07116662834947662,7.116662834947663,3.926216619691173,105.52026764185982,1.7586711273643303,339.6369934082031,347.8269958496094,8.19000244140625,0.0,2,,Via Don Tommaso Dallafior,SP204,,,,,
279134219,13563817803,0,25609880,residential,False,,False,3.1775010175878355,0.009440997542039574,0.009440997542039574,0.9440997542039574,4.873030280767686,2.3474107494185597,0.03912351249030933,321.2510070800781,321.281005859375,0.029998779296875,0.0,,,Via Mesiano,,,,,,
279134219,157370005,0,31343408,secondary,False,,False,136.05783318489443,0.10052344383978815,0.10052344383978815,10.052344383978815,3.5428355728506196,138.25315609313273,2.304219268218879,321.2510070800781,334.9280090332031,13.677001953125,0.0,2,,Via Mesiano,SP204,,,,,
279134219,349081867,0,"[31343408, 31343411]",secondary,False,,True,34.256244946200916,-0.08728396111859085,0.08728396111859085,-8.728396111859086,5.265971270040258,23.418753252214476,0.3903125542035746,321.2510070800781,318.260986328125,0.0,2.990020751953125,2,,Via Mesiano,SP204,,,,,
245018000,11133645954,0,25792391,tertiary,False,,True,112.60973177846607,0.0,0.0,0.0,5.036742124615245,80.48755016089808,1.3414591693483013,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018000,2624885402,0,256863486,footway,False,,True,4.730632684198557,0.0,0.0,0.0,5.036742124615245,3.3812089723405774,0.05635348287234296,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
245018000,292026724,0,25792391,tertiary,False,,False,94.14624888871744,0.0,0.0,0.0,5.036742124615245,67.29081767815804,1.1215136279693005,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018000,2624885411,0,"[256863488, 256863486]",footway,False,,False,109.22456566446971,0.0,0.0,0.0,5.036742124615245,78.06801036535657,1.3011335060892761,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
11133645954,245018000,0,25792391,tertiary,False,,False,112.60973177846607,0.0,0.0,0.0,5.036742124615245,80.48755016089808,1.3414591693483013,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
11133645954,3920435106,0,25792391,tertiary,False,,True,232.31363905215372,0.0,0.0,0.0,5.036742124615245,166.04564615299626,2.767427435883271,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
11133645954,11133645947,0,1200774471,service,False,driveway,False,152.36024464960846,0.0,0.0,0.0,5.036742124615245,108.89913900058761,1.8149856500097934,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
2624885402,2624885403,0,152273420,footway,False,,True,25.44576159880041,0.0,0.0,0.0,5.036742124615245,18.187300340034607,0.30312167233391013,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
